"term","group","contrast","estimate","conf.low","conf.high"
"avg_tornado","3","dY/dX",0.0466123214361479,-2.04202529224132,1.73134265663606
"avg_volcano","1","dY/dX",0.222178075198293,-0.181746471663916,0.769421177757678
"avg_volcano","2","dY/dX",0.135946097679932,-1.19500328395978,1.59550919517344
"avg_volcano","3","dY/dX",-0.33274502399166,-2.16976199895967,1.09227158856756
"avg_wildfire","1","dY/dX",-0.0594517637178554,-0.46724572994058,0.281422364753483
"avg_wildfire","2","dY/dX",-0.877245944519094,-2.03391810043777,0.153335030073904
"avg_wildfire","3","dY/dX",0.938275859771116,-0.208349884640031,2.31376036845258
"country_income","1","high - lower",-0.0400591980303994,-0.092716203969593,0.00848696704716079
"country_income","1","lower_middle - lower",-0.00250245972559374,-0.047612456919025,0.0387976201423792
"country_income","1","upper_middle - lower",-0.0164215585720088,-0.0657097417690508,0.027332158931095
"country_income","2","high - lower",0.0236702998678729,-0.117936061252935,0.158588583874111
"country_income","2","lower_middle - lower",0.0277877872172886,-0.0833529330301028,0.132014770699309
"country_income","2","upper_middle - lower",0.0125811628760494,-0.110243434539437,0.124517904516951
"country_income","3","high - lower",0.0173155413259741,-0.145432191124846,0.182626136202496
"country_income","3","lower_middle - lower",-0.0237317581501253,-0.155368013426962,0.107002922838466
"country_income","3","upper_middle - lower",0.00463587763889216,-0.134051408524597,0.152448802025928
"drought_within","1","dY/dX",-0.0716991028177115,-0.0871667938780284,-0.0571831613878928
"drought_within","2","dY/dX",-0.0121414513169407,-0.0300577463528124,0.00537401896299918
"drought_within","3","dY/dX",0.0840335214218337,0.0648546282105122,0.103509489799231
"earthquake_within","1","dY/dX",-0.0352059443475339,-0.0474177713935825,-0.0234230058428511
"earthquake_within","2","dY/dX",-0.0290769407698701,-0.0436921732576955,-0.0143099160303595
"earthquake_within","3","dY/dX",0.064153853808085,0.0486064205229983,0.0800243169845148
"education","1","secondary - elementary",-0.0539570873212418,-0.0611348615669689,-0.0473855745995171
"education","1","university - elementary",-0.0840638638050685,-0.0932158809526355,-0.0754723424005253
"education","2","secondary - elementary",0.00126510270099937,-0.00659203374172214,0.00941909245631863
"education","2","university - elementary",-0.0294023003619623,-0.0388602223542032,-0.0194173622947754
"education","3","secondary - elementary",0.0526493849824258,0.0444977659426182,0.0610277359088259
"education","3","university - elementary",0.11341270791472,0.103077845751022,0.12388730583021
"flooding_within","1","dY/dX",-0.0565101567449529,-0.0641966562807197,-0.0490677329188347
"flooding_within","2","dY/dX",-0.0331847854397809,-0.0417258757650525,-0.0243573901668275
"flooding_within","3","dY/dX",0.0896556980590414,0.0802867675283451,0.0991544624490737
"heatwave_within","1","dY/dX",-0.114432483259047,-0.1453478981006,-0.085330153051891
"heatwave_within","2","dY/dX",-0.0319681345159841,-0.0676442004544501,0.00280384864736893
"heatwave_within","3","dY/dX",0.146747843557579,0.106872512229654,0.187168912592077
"hurricane_within","1","dY/dX",-0.0235222208812959,-0.0348711049487978,-0.0126013751857131
"hurricane_within","2","dY/dX",-0.052222328725777,-0.0679360949141936,-0.0366079552648593
"hurricane_within","3","dY/dX",0.0758510915174232,0.0593984050977142,0.092149232116285
"individual_income","1","fourth20 - poorest20",-0.0263156277589844,-0.0336529391909314,-0.0195854724981565
"individual_income","1","middle20 - poorest20",-0.0228087588793455,-0.0299906340291742,-0.0161345593814427
"individual_income","1","richest20 - poorest20",-0.0261746648621301,-0.0332200712403483,-0.0194356875026409
"individual_income","1","second20 - poorest20",-0.0149459805373068,-0.0218837026971966,-0.0081083294794837
"individual_income","2","fourth20 - poorest20",0.02487196242148,0.0160826472310043,0.0341104356788215
"individual_income","2","middle20 - poorest20",0.0225284266109117,0.0137410386644439,0.0317127450012025
"individual_income","2","richest20 - poorest20",0.0139603038372846,0.00555801706146488,0.0227331538424876
"individual_income","2","second20 - poorest20",0.0132038340983657,0.00450787619738624,0.0222115141206178
"individual_income","3","fourth20 - poorest20",0.00149503260506138,-0.00808781410080634,0.0112024971871464
"individual_income","3","middle20 - poorest20",0.000320886869175624,-0.00954976023464255,0.00999210904856963
"individual_income","3","richest20 - poorest20",0.0122724454994932,0.00276530732628865,0.0217909458504129
"individual_income","3","second20 - poorest20",0.00176799622066919,-0.00827791863794489,0.0111995210867782
"mudslide_within","1","dY/dX",-0.0312107452782194,-0.0595060922205973,-0.00372360618308362
"mudslide_within","2","dY/dX",-0.0751764028649398,-0.11552193363897,-0.0363415848025578
"mudslide_within","3","dY/dX",0.106522653328011,0.0662233752774476,0.14655824662904
"pct_university","1","dY/dX",0.064931106336992,-0.035427522618973,0.168121879376756
"pct_university","2","dY/dX",0.254256306352965,-0.0153274933050557,0.533134466164238
"pct_university","3","dY/dX",-0.320824416008155,-0.650006017484259,0.0050518240021152
"sandstorm_within","1","dY/dX",-0.101555713793578,-0.162830021591868,-0.0471334178683931
"sandstorm_within","2","dY/dX",0.00595273012197841,-0.054186624241088,0.0654948016833266
"sandstorm_within","3","dY/dX",0.095986584343226,0.0256279411237245,0.167741172823754
"snowstorm_within","1","dY/dX",-0.0624932601968296,-0.101350231944801,-0.0277941791101206
"snowstorm_within","2","dY/dX",-0.000477888228084913,-0.0384144579941376,0.0370358415812625
"snowstorm_within","3","dY/dX",0.0633716147760366,0.0212345251175203,0.106726333477835
"thunder_within","1","dY/dX",-0.0723124669492058,-0.100811882972001,-0.0463305122664378
"thunder_within","2","dY/dX",-0.00617479750175387,-0.035692468451909,0.0237983045770789
"thunder_within","3","dY/dX",0.0785285823692552,0.0458780568615141,0.112275953558168
