"term","group","contrast","resilience_individual_within_z","estimate","conf.low","conf.high"
"hazard_type","1","thunder - none",1,-0.0728138514597283,-0.0959423896927324,-0.0460770968616037
"hazard_type","1","tornado - none",1,-0.0149130023748567,-0.0534486672128389,0.0309079936637263
"hazard_type","1","volcano - none",1,-0.0360706860691459,-0.0866389020079633,0.0297101444906825
"hazard_type","1","wildfire - none",1,-0.0284755130156502,-0.0510663845874767,-0.0051934998520663
"hazard_type","2","drought - none",1,-0.0217590853134825,-0.0449029760797953,0.00157890141456066
"hazard_type","2","earthquake - none",1,-0.030913692203313,-0.0480327346891462,-0.0122014579743669
"hazard_type","2","flooding - none",1,-0.0383453939956316,-0.0491928778416169,-0.0275482926048401
"hazard_type","2","heatwave - none",1,-0.0734834968315557,-0.111655676183643,-0.0316288651592121
"hazard_type","2","hurricane - none",1,-0.0506509972763948,-0.0694134454392034,-0.0314438943318475
"hazard_type","2","mudslide - none",1,-0.0975295270154044,-0.139513099463127,-0.0531866102265807
"hazard_type","2","sandstorm - none",1,-0.0319017696425058,-0.108421828697486,0.0558627755251243
"hazard_type","2","snowstorm - none",1,-0.0202756872811958,-0.0667346586931172,0.0284302791603383
"hazard_type","2","thunder - none",1,-0.0036711542042719,-0.0416959801657346,0.0348164945383409
"hazard_type","2","tornado - none",1,-0.061714438792849,-0.110844469106618,-0.00712290888285415
"hazard_type","2","volcano - none",1,0.0297035778911775,-0.0542285160407378,0.118365916976193
"hazard_type","2","wildfire - none",1,-0.0307376330013915,-0.0623303184817127,-0.000471463394712955
"hazard_type","3","drought - none",1,0.0769357046428325,0.0514251397937092,0.101110801033852
"hazard_type","3","earthquake - none",1,0.0594246009544198,0.0397304123117822,0.079295803047695
"hazard_type","3","flooding - none",1,0.0868907447211289,0.0752250585990087,0.0987153649255632
"hazard_type","3","heatwave - none",1,0.162467556884696,0.117051924027716,0.205911743857525
"hazard_type","3","hurricane - none",1,0.0752176098382586,0.0543810232087606,0.0955062315704867
"hazard_type","3","mudslide - none",1,0.130207421380665,0.0815459325481589,0.178218414899895
"hazard_type","3","sandstorm - none",1,0.145511573293146,0.0508956644526392,0.225773759566067
"hazard_type","3","snowstorm - none",1,0.0678811707573492,0.0119967069375701,0.120291826617691
"hazard_type","3","thunder - none",1,0.0753753167011857,0.0349869266570393,0.116271382028603
"hazard_type","3","tornado - none",1,0.075447800654673,0.0142730220984533,0.133311141970281
"hazard_type","3","volcano - none",1,0.00391102130033293,-0.0851691671176865,0.0980516119200525
"hazard_type","3","wildfire - none",1,0.0595954658806111,0.0251694185595563,0.0923911888262212
