"term","contrast","country","estimate","conf.low","conf.high"
"earthquake","earthquake","Cameroon",0.048570665441849,-0.0934183803742123,0.18368335320414
"flooding","flooding","Cameroon",0.0355965383650039,-0.0321504186630685,0.100037989043767
"heatwave","heatwave","Cameroon",0.136287454317727,-0.0872721899315414,0.313163009191161
"hurricane","hurricane","Cameroon",0.0771655150358432,-0.0071762670540298,0.144249351028272
"mudslide","mudslide","Cameroon",0.0957816178856517,-0.00672401786718806,0.167528921665423
"sandstorm","sandstorm","Cameroon",0.0578007934003793,-0.283654017145345,0.347848452550902
"snowstorm","snowstorm","Cameroon",0.0660697891455824,-0.112250330834993,0.254826509022863
"thunder","thunder","Cameroon",0.0769374664411766,-0.0676944198544901,0.231099087568569
"tornado","tornado","Cameroon",0.0839412130987777,-0.0898968241870142,0.272672765685644
"volcano","volcano","Cameroon",-0.0496343276591701,-0.415531951864286,0.149398796034038
"wildfire","wildfire","Cameroon",0.0747106378828985,-0.0625018578036478,0.183008421465383
"drought","drought","Eswatini",0.0492530748227086,-0.0154233340764392,0.10164053310526
"earthquake","earthquake","Eswatini",0.0423630500805234,-0.0609790857631167,0.115779853014232
"flooding","flooding","Eswatini",0.0555266003493725,0.00760907105771448,0.0973739002914004
"heatwave","heatwave","Eswatini",0.0780940493880962,-0.080487941990811,0.156191596197114
"hurricane","hurricane","Eswatini",0.0444531343103984,-0.00218493592975497,0.0745583247495543
"mudslide","mudslide","Eswatini",0.0652889528341512,-0.00672536559264758,0.129252439556359
"sandstorm","sandstorm","Eswatini",0.038869452328334,-0.29258739149936,0.159739290676012
"snowstorm","snowstorm","Eswatini",0.041445688899362,-0.0962242190375106,0.135906316147034
"thunder","thunder","Eswatini",0.0367239532189413,-0.10152569562243,0.101686989264315
"tornado","tornado","Eswatini",0.0509124309886318,-0.0698827543050088,0.137539918812388
"volcano","volcano","Eswatini",-0.00646811862550555,-0.444042275157519,0.153661993232806
"wildfire","wildfire","Eswatini",0.0551371089912056,0.00230312426357324,0.116896439089453
"drought","drought","Finland",0.094482290845751,-0.076537026193183,0.28630134019755
"earthquake","earthquake","Finland",0.0635240520610565,-0.069186074148483,0.211440419475538
"flooding","flooding","Finland",0.115825656523415,0.0462059363425583,0.185524940994709
"heatwave","heatwave","Finland",0.136902999177198,-0.0742424770659474,0.344023695749476
"hurricane","hurricane","Finland",0.0742008754246438,-0.0012444265396156,0.151144258577413
"mudslide","mudslide","Finland",0.111434151240932,0.0115759831979651,0.270770712540158
"sandstorm","sandstorm","Finland",0.0541279175344019,-0.233037498514211,0.379288487346337
"snowstorm","snowstorm","Finland",0.0869989531006725,-0.0440973663409662,0.295317756239478
"thunder","thunder","Finland",0.0771807644179348,-0.0389664502752027,0.225242737399952
"tornado","tornado","Finland",0.075909906084779,-0.0721852171096186,0.264277844371704
"volcano","volcano","Finland",-0.0108999887513631,-0.288549949494806,0.337625181600823
"wildfire","wildfire","Finland",0.0745807833260499,-0.0531733867168713,0.207539626954548
"drought","drought","Ghana",0.16498229064953,0.0298014124504869,0.288057963739503
"earthquake","earthquake","Ghana",0.0453424611614361,-0.104506200061151,0.174210658941622
